,Size,Kraska FPR,Projection_kernel FPR,Ideal FPR
0,1162,0.9433962264150944,0.330188679245283,0.21087289742003634
1,2289,0.03773584905660377,0.22641509433962265,0.046431308353486495
2,3415,0.03773584905660377,0.2169811320754717,0.0102379171601184
3,4541,0.03773584905660377,0.2169811320754717,0.0022575105086836277
4,5668,0.03773584905660377,0.1509433962264151,0.0004869449405369837
5,6794,0.04716981132075472,0.07547169811320754,0.00010705700583654375
6,7921,0.04716981132075472,0.11320754716981132,2.3524966153979178e-05
7,9047,0.03773584905660377,0.04716981132075472,5.179026759566227e-06
8,10173,0.05660377358490566,0.18867924528301888,1.140566827696309e-06
9,11300,0.05660377358490566,0.03773584905660377,2.5091895053179267e-07
10,12426,0.04716981132075472,0.03773584905660377,5.465729255327326e-08
11,13553,0.03773584905660377,0.04716981132075472,1.2001361852182251e-08
12,14679,0.03773584905660377,0.018867924528301886,2.6398629730343018e-09
13,15805,0.04716981132075472,0.04716981132075472,5.808715490979867e-10
14,16932,0.03773584905660377,0.05660377358490566,1.276802095258626e-10
15,18058,0.05660377358490566,0.009433962264150943,2.791425703168117e-11
16,19185,0.018867924528301886,0.04716981132075472,6.127245457500643e-12
17,20311,0.03773584905660377,0.02830188679245283,1.3472151706820623e-12
18,21437,0.03773584905660377,0.018867924528301886,2.963022899064098e-13
19,22564,0.04716981132075472,0.009433962264150943,6.509739009901094e-14
20,1162,0.02830188679245283,0.33962264150943394,0.21087289742003634
21,2289,0.03773584905660377,0.25471698113207547,0.046431308353486495
22,3415,0.04716981132075472,0.20754716981132076,0.0102379171601184
23,4541,0.03773584905660377,0.1792452830188679,0.0022575105086836277
24,5668,0.03773584905660377,0.1320754716981132,0.0004869449405369837
25,6794,0.03773584905660377,0.12264150943396226,0.00010705700583654375
26,7921,0.04716981132075472,0.11320754716981132,2.3524966153979178e-05
27,9047,0.05660377358490566,0.11320754716981132,5.179026759566227e-06
28,10173,0.03773584905660377,0.07547169811320754,1.140566827696309e-06
29,11300,0.03773584905660377,0.05660377358490566,2.5091895053179267e-07
30,12426,0.03773584905660377,0.09433962264150944,5.465729255327326e-08
31,13553,0.04716981132075472,0.03773584905660377,1.2001361852182251e-08
32,14679,0.03773584905660377,0.018867924528301886,2.6398629730343018e-09
33,15805,0.02830188679245283,0.0660377358490566,5.808715490979867e-10
34,16932,0.05660377358490566,0.02830188679245283,1.276802095258626e-10
35,18058,0.04716981132075472,0.03773584905660377,2.791425703168117e-11
36,19185,0.02830188679245283,0.02830188679245283,6.127245457500643e-12
37,20311,0.03773584905660377,0.02830188679245283,1.3472151706820623e-12
38,21437,0.04716981132075472,0.009433962264150943,2.963022899064098e-13
39,22564,0.03773584905660377,0.018867924528301886,6.509739009901094e-14
40,1162,0.03773584905660377,0.3584905660377358,0.21087289742003634
41,2289,0.018867924528301886,0.3113207547169811,0.046431308353486495
42,3415,0.04716981132075472,0.2169811320754717,0.0102379171601184
43,4541,0.04716981132075472,0.2358490566037736,0.0022575105086836277
44,5668,0.04716981132075472,0.1509433962264151,0.0004869449405369837
45,6794,0.03773584905660377,0.07547169811320754,0.00010705700583654375
46,7921,0.03773584905660377,0.16981132075471697,2.3524966153979178e-05
47,9047,0.03773584905660377,0.0660377358490566,5.179026759566227e-06
48,10173,0.02830188679245283,0.02830188679245283,1.140566827696309e-06
49,11300,0.02830188679245283,0.0660377358490566,2.5091895053179267e-07
50,12426,0.04716981132075472,0.07547169811320754,5.465729255327326e-08
51,13553,0.03773584905660377,0.018867924528301886,1.2001361852182251e-08
52,14679,0.03773584905660377,0.11320754716981132,2.6398629730343018e-09
53,15805,0.03773584905660377,0.018867924528301886,5.808715490979867e-10
54,16932,0.02830188679245283,0.04716981132075472,1.276802095258626e-10
55,18058,0.03773584905660377,0.03773584905660377,2.791425703168117e-11
56,19185,0.04716981132075472,0.02830188679245283,6.127245457500643e-12
57,20311,0.04716981132075472,0.018867924528301886,1.3472151706820623e-12
58,21437,0.04716981132075472,0.018867924528301886,2.963022899064098e-13
59,22564,0.04716981132075472,0.03773584905660377,6.509739009901094e-14
