,Size of filter(bits),Ideal FPR,Standard Filter Total Creation Time(sec),Average Standard Filter Total Creation Time(sec),Projection FPR for iteration,Average Projection FPR,Projection Filter Total Creation Time(sec),Average Projection Filter Total Creation Time(sec)
95,960,0.061184790556491724,0.0020654919999287813,0.003244987199832394,0.07246376811594203,0.0753623188405797,0.4917536969996945,0.45542591700013874
96,970,0.05944253562064783,0.01042719399993075,0.007442465799977071,0.043478260869565216,0.08985507246376812,0.27525760700063984,0.470288550999976
97,980,0.057760549853625526,0.003381272999831708,0.0033209016000910196,0.08695652173913043,0.05507246376811594,0.20978286700028548,0.3816559728003995
98,990,0.05613641434660909,0.0030584739997721044,0.008504946199718689,0.07246376811594203,0.07536231884057971,0.5782057400001577,0.5953492879998521
99,1000,0.05456781882993463,0.001952069999788364,0.010967184399851249,0.028985507246376812,0.07536231884057971,0.26967751899974246,0.331523352199838
100,1010,0.05305255639517553,0.001766092999787361,0.008187468200048897,0.043478260869565216,0.06956521739130435,0.2154262390004078,0.41513980960007757
101,1020,0.051588518483554044,0.0032355749999624095,0.0030918219999875873,0.028985507246376812,0.06376811594202898,0.18660003900004085,0.4632512288000726
102,1030,0.05017369012764013,0.005143534999660915,0.003984485599721666,0.028985507246376812,0.07246376811594203,0.2072740840003462,0.3802847465998639
103,1040,0.0488061454337539,0.0033510680004837923,0.004365868600143585,0.057971014492753624,0.06956521739130435,0.37001729299936414,0.3853421279998656
104,1050,0.0474840432932245,0.013205799000388652,0.007255400800022471,0.043478260869565216,0.05217391304347826,0.566478583999924,0.40020687519991044
105,1060,0.04620562331078142,0.007946108000396634,0.0042619192005076915,0.014492753623188406,0.04057971014492754,0.48033698899962474,0.4549327995997373
106,1070,0.044969201939209516,0.006745687000147882,0.005673971800024447,0.08695652173913043,0.06376811594202898,0.22237770199990337,0.36979902860002767
107,1080,0.04377316880988648,0.004213760000311595,0.0036914584001351614,0.08695652173913043,0.08695652173913043,0.20533348899971315,0.335639995999918
108,1090,0.042615983248908404,0.005525868999939121,0.005754077799974766,0.14492753623188406,0.10144927536231885,0.27194728499944176,0.35993822739983444
109,1100,0.04149617096944932,0.004129786999328644,0.0034664997996515013,0.11594202898550725,0.06666666666666668,0.14307014199948753,0.2796558987998651
110,1110,0.04041232093129222,0.0038550890003534732,0.00501561680011946,0.07246376811594203,0.08405797101449274,0.17177003600045282,0.307964262600035
111,1120,0.039363082358719076,0.0017293529999733437,0.003706451200014271,0.014492753623188406,0.06956521739130435,0.15304544900027395,0.27833639119980946
112,1130,0.03834716190873609,0.002385024999966845,0.006870618399989326,0.043478260869565216,0.05507246376811594,0.4702334660005363,0.3901001277998148
113,1140,0.0373633209816858,0.0020496600000114995,0.004832601400084968,0.11594202898550725,0.07246376811594203,0.42413595800007897,0.3066721850000249
114,1150,0.0364103731668689,0.002963568000268424,0.00271772840005724,0.057971014492753624,0.06086956521739131,0.15601910600071278,0.36454838500012554
115,1160,0.03548718181617092,0.003752800000256684,0.0033875035998789825,0.14492753623188406,0.05217391304347826,0.14801181199982238,0.3425845088000642
116,1170,0.034592657739045185,0.003497904000141716,0.0033051544000045397,0.07246376811594203,0.06376811594202898,0.179232564000813,0.24047280600025261
117,1180,0.033725757012358075,0.001752440000018396,0.006625378400167392,0.08695652173913043,0.049275362318840575,0.15305359800004226,0.2121954939997522
118,1190,0.03288547889930981,0.002327678000256128,0.0036702524001157146,0.057971014492753624,0.03768115942028986,0.12976200399953086,0.34044865860014395
119,1200,0.030419142823917698,0.0023126820005927584,0.006236674600222614,0.11594202898550725,0.06956521739130435,0.13414022199958708,0.4533167358000355
120,1210,0.02955245617412272,0.0021506319999389234,0.00676698999996006,0.028985507246376812,0.04927536231884058,0.1286034770000697,0.43610997739997404
121,1220,0.028714709430657192,0.001984407000236388,0.006524282199825393,0.07246376811594203,0.05217391304347826,0.1492704070005857,0.28896338719987397
122,1230,0.027904805582935076,0.006702697999571683,0.005494703200020013,0.11594202898550725,0.057971014492753624,0.13626654900053836,0.2782135453999217
123,1240,0.027121693615182792,0.004281039000488818,0.004704322200086608,0.014492753623188406,0.0463768115942029,0.17642928999975993,0.26896699879998776
124,1250,0.0263643664241794,0.0025203160003002267,0.0032648519998474514,0.028985507246376812,0.028985507246376812,0.15879253900038748,0.32790376620014283
125,1260,0.02563185883610957,0.0033584100001462502,0.0030607904000135022,0.057971014492753624,0.02898550724637681,0.1420823720000044,0.22592085180021967
126,1270,0.024923245717782982,0.003777850999540533,0.004960571399715263,0.028985507246376812,0.0463768115942029,0.15924122700016596,0.32235774760010827
127,1280,0.024237640177611448,0.002362233999519958,0.007759014199837111,0.014492753623188406,0.043478260869565216,0.20338324400017882,0.39183136299998295
128,1290,0.023574191852096436,0.0025261760001740186,0.003625789000216173,0.08695652173913043,0.05797101449275362,0.16231480100032059,0.30520649520003645
129,1300,0.022932085273466993,0.0030517899995174957,0.003711978999854182,0.014492753623188406,0.03768115942028986,0.17043955299959634,0.43280229859974495
130,1310,0.022310538314758387,0.0026875550001932424,0.004514167799788993,0.08695652173913043,0.05217391304347827,0.18194194700026856,0.3569818182002564
131,1320,0.021708800708331807,0.004015076999166922,0.004478576599831285,0.014492753623188406,0.03768115942028985,0.14418021999972552,0.42147524660013
132,1330,0.021126152634476966,0.0021275669996612123,0.0034884016002251885,0.043478260869565216,0.034782608695652174,0.13733933799994702,0.29714394120001086
133,1340,0.020561903376389894,0.002512597999157151,0.006567844799792511,0.057971014492753624,0.04927536231884059,0.1610567979996631,0.33372875320001183
134,1350,0.020015390038607837,0.008293460000459163,0.0050665318000028495,0.014492753623188406,0.02318840579710145,0.19624669599943445,0.29766622819970506
135,1360,0.019485976325551362,0.01049766800042562,0.0077294322003581325,0.057971014492753624,0.02608695652173913,0.19063197400009813,0.42345993500020995
136,1370,0.01897305137729504,0.002001574999667355,0.007461376799983555,0.043478260869565216,0.02608695652173913,0.14007260000016686,0.3551438970001982
137,1380,0.018476028659890332,0.002683794999938982,0.004126608399928955,0.043478260869565216,0.049275362318840575,0.18585107599938056,0.3042781269998159
138,1390,0.017994344907396393,0.0026620279995768215,0.006160436400023173,0.014492753623188406,0.03188405797101449,0.20753690699984872,0.4021203585998592
139,1400,0.01752745911322765,0.005641259999720205,0.004949740400115843,0.043478260869565216,0.028985507246376812,0.1693284749999293,0.2905267074000221
140,1410,0.017074851568345265,0.002333413000087603,0.004963424200104783,0.10144927536231885,0.06086956521739131,0.21772549400066055,0.29359675020004944
141,1420,0.01663602294404521,0.0028236120006113197,0.004997376000210352,0.07246376811594203,0.028985507246376812,0.1565672020005877,0.24898617720009497
142,1430,0.015569069090246017,0.00220712500049558,0.002656298400142987,0.028985507246376812,0.0463768115942029,0.1582778120000512,0.24152417200020865
143,1440,0.015123436259901063,0.008063743000093382,0.007694752799943671,0.028985507246376812,0.034782608695652174,0.14169246500023291,0.25597827159999725
144,1450,0.014692383615247958,0.004010159999779717,0.005084857799738529,0.014492753623188406,0.02608695652173913,0.2443117100001473,0.27699060520026253
145,1460,0.014275378525132368,0.0029689559996768367,0.029286698800206068,0.043478260869565216,0.0318840579710145,0.24731763600084378,0.299707995600329
146,1470,0.013871909659198017,0.0030688040005770745,0.004709385800015298,0.0,0.011594202898550725,0.15115054800025973,0.19961607740006002
147,1480,0.013481486072210565,0.0031866919998719823,0.01186878219996288,0.028985507246376812,0.03768115942028986,0.16377016299975367,0.204732158600018
148,1490,0.013103636329908174,0.003202418999535439,0.0040059057999314975,0.028985507246376812,0.02318840579710145,0.17640919299992674,0.42550779640023395
149,1500,0.012737907674433998,0.0026525210005274857,0.004617145000338496,0.014492753623188406,0.02608695652173913,0.1327539000003526,0.3228634428000078
150,1510,0.012383865227424384,0.003920791000382451,0.005996775000130583,0.0,0.02318840579710145,0.18725382200045715,0.34244046440016973
151,1520,0.012041091229148758,0.00349806800022634,0.0053875185998549565,0.014492753623188406,0.034782608695652174,0.40365176500017697,0.2926176436001697
152,1530,0.011709184311875913,0.004180137999355793,0.004711248600142426,0.0,0.034782608695652174,0.26033534799989866,0.24023212800020702
153,1540,0.01138775880590831,0.016379362999941804,0.008782509800039407,0.057971014492753624,0.02608695652173913,0.28076885500013304,0.30579227879989046
154,1550,0.011076444076804236,0.0025666520004961058,0.003254546800053504,0.043478260869565216,0.028985507246376812,0.99512231800054,0.37336087800031237
155,1560,0.010774883892309864,0.009932587000548665,0.004256828600045992,0.0,0.014492753623188406,0.7359244720000788,0.33277065080019386
156,1570,0.010482735817541734,0.0077140029998190585,0.017323467799906213,0.014492753623188406,0.02608695652173913,0.3772969470001044,0.28674511939971126
157,1580,0.010199670637239491,0.024594995999905223,0.011223797799902967,0.028985507246376812,0.011594202898550725,0.2733258690004732,0.30959140900013155
158,1590,0.009925371803710325,0.007049928000014916,0.010468470599698776,0.014492753623188406,0.017391304347826087,0.73115614299968,0.36243756000021676
159,1600,0.009659534909330079,0.031143378999331617,0.010293767800067143,0.014492753623188406,0.02318840579710145,1.154685857000004,0.4310748554002203
160,1610,0.009401867182443426,0.007958269000482687,0.00542163440004515,0.028985507246376812,0.02318840579710145,1.226529097999446,0.4712479413999972
161,1620,0.009152087005564906,0.011588804000894015,0.007771119800236192,0.028985507246376812,0.005797101449275362,1.2172043979999216,0.4257269666000866
162,1630,0.00890992345486746,0.006901929000378004,0.005606862800050294,0.0,0.014492753623188406,0.6084657419996802,0.38233023279972256
163,1640,0.00867511585998041,0.004868146999797318,0.007413419199838245,0.028985507246376812,0.03768115942028986,0.3011053760001232,0.24173898560002272
164,1650,0.008447413383093636,0.005308774000695848,0.0034449772001607926,0.043478260869565216,0.034782608695652174,0.28998491799939075,0.28125320800008924
165,1660,0.008226574616561727,0.003140711000014562,0.004684108800029207,0.043478260869565216,0.02028985507246377,0.7205909820004308,0.3926995812000314
166,1670,0.007740373313521411,0.009319890999904601,0.006726981999963755,0.043478260869565216,0.028985507246376812,0.5206755039998825,0.3162937081999189
167,1680,0.007518894593959245,0.06213763900086633,0.01497039220030274,0.028985507246376812,0.028985507246376812,0.5699316729997008,0.33369210719974945
168,1690,0.007304530759113404,0.004230849000123271,0.008411484400130575,0.0,0.014492753623188406,0.4261985690000074,0.29152568680019614
169,1700,0.007097029768268893,0.0039007799996397807,0.00402728280005249,0.043478260869565216,0.03768115942028986,0.189820397999938,0.32181757159996777
170,1710,0.006896149275753789,0.0036365370006024023,0.006228887800170923,0.014492753623188406,0.028985507246376812,0.18193147599959048,0.2947708382000201
171,1720,0.006701656231716469,0.003435964000345848,0.0036483859999862033,0.014492753623188406,0.014492753623188406,0.4336194699999396,0.35699155580005026
172,1730,0.0065133265002600225,0.010993195000082778,0.005759480199958489,0.028985507246376812,0.02028985507246377,0.44256243300060305,0.34923057540036095
173,1740,0.006330944494073685,0.0060134679997645435,0.004246598999998241,0.014492753623188406,0.034782608695652174,0.6207552109999597,0.2999060702000861
174,1750,0.006154302824984628,0.011111069000435236,0.006985346400142589,0.014492753623188406,0.014492753623188406,0.5275650489993495,0.290983036599755
175,1760,0.005983201969528682,0.008524636999936774,0.0058449491998544545,0.028985507246376812,0.014492753623188406,0.48104153199983557,0.2829401114000575
176,1770,0.005817449948983221,0.005535283999961393,0.005095210399849748,0.07246376811594203,0.028985507246376812,0.683988292000322,0.3289936008002769
177,1780,0.005656862023188449,0.01129678600045736,0.008614254200074356,0.0,0.014492753623188406,0.33301810499960993,0.25471482559987635
178,1790,0.005501260397515396,0.004933842000355071,0.005267125600039435,0.014492753623188406,0.008695652173913044,0.26010474899976543,0.22819108059993595
179,1800,0.005350473942375196,0.004172144000222033,0.00516721440017136,0.014492753623188406,0.005797101449275362,0.27748867699938273,0.3026663758000723
180,1810,0.0052043379248026215,0.003430212999774085,0.0042339655999967364,0.0,0.017391304347826087,0.27876496499993664,0.22798572680003418
181,1820,0.005062693751430938,0.0036763929992957856,0.004775549799887813,0.014492753623188406,0.014492753623188406,0.24054522400001588,0.2617560545999368
182,1830,0.00492538872248283,0.002481036000062886,0.004046606400152086,0.0,0.008695652173913044,0.1839481570004864,0.1989236138000706
183,1840,0.0047922757962018045,0.003929782999875897,0.004735337200145295,0.0,0.011594202898550725,0.17574289000003773,0.2363684480002121
184,1850,0.0046632133632796505,0.004368239000541507,0.003462126200065541,0.028985507246376812,0.02318840579710145,0.23413175899986527,0.2267589481996765
185,1860,0.004538065030853118,0.013735543000620964,0.006414276600116864,0.0,0.005797101449275362,0.15312492599969119,0.22199555299994245
186,1870,0.004416699415636602,0.0036591489997590543,0.004725829599738063,0.0,0.0,0.1669549399994139,0.323049484799958
187,1880,0.004298989945759474,0.004944940999848768,0.008822041200073728,0.0,0.008695652173913044,0.1596892810002828,0.4259328046002338
188,1890,0.0041848146709520485,0.0032762029995865305,0.006864536799730559,0.014492753623188406,0.005797101449275362,0.16503618200022174,0.3715991123999629
189,1900,0.004074056080728376,0.004520980000052077,0.0064581070000713225,0.028985507246376812,0.02028985507246377,0.23905991799983894,0.31682836479994875
190,1910,0.0038482407900569406,0.006657253000412311,0.0057535629999620145,0.0,0.008695652173913044,0.2223634639994998,0.3119838337997862
191,1920,0.003738156831291245,0.004373282000415202,0.0064036728001156005,0.0,0.014492753623188406,0.20404361600049015,0.27906071079996764
192,1930,0.0036315602370020814,0.005250682999758283,0.004422435599735763,0.014492753623188406,0.017391304347826087,0.18232445800003916,0.24552765660027945
193,1940,0.0035283303863494625,0.0035326830002304632,0.004422866400091152,0.0,0.008695652173913044,0.24605241100016428,0.33212043379990064
194,1950,0.0034283511576544737,0.004041592999783461,0.010253459999876213,0.014492753623188406,0.008695652173913044,0.21448159999999916,0.27436328699986917
195,1960,0.003331510749456763,0.0034837000002880814,0.005899874399619876,0.0,0.011594202898550725,0.18906933899961587,0.2543831971997861
196,1970,0.003237701509119691,0.026476467000065895,0.010056094200263033,0.0,0.005797101449275362,0.4024311430002854,0.3265439795999555
197,1980,0.0031468197685486487,0.0028828390004491666,0.004181751800206257,0.0,0.002898550724637681,0.20471048499985045,0.3166354279997904
198,1990,0.0030587656868485465,0.011632599000222399,0.006629634800265194,0.0,0.0,0.4387565799997901,0.32721459919994234
199,2000,0.0029734430994538858,0.0033528079993629945,0.006075823600076547,0.0,0.005797101449275362,0.22879295499933505,0.26846036999977513
200,2010,0.0028907593736194736,0.006871251999655215,0.0060560699996131005,0.014492753623188406,0.011594202898550725,0.3773872760002632,0.29342852999980096
201,2020,0.002810625269843594,0.0074146619999737595,0.004849347799972747,0.014492753623188406,0.008695652173913044,0.8677227159996619,0.4425197615999423
